City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,ain sefra,32.75,-0.5833,26.47,23,6,6.39,DZ,1686431063
294,singleton,-32.5667,151.1833,4.76,81,0,0.92,AU,1686431063
295,akjoujt,19.6969,-14.4164,35.35,18,1,6.1,MR,1686431063
296,tucurui,-3.7661,-49.6725,26.87,77,85,1.03,BR,1686430949
297,nelson bay,-32.7167,152.15,10.0,97,0,3.58,AU,1686431063
298,maintirano,-18.0667,44.0167,23.71,78,0,5.1,MG,1686431063
299,wotho,10.1657,166.0102,27.73,81,100,7.18,MH,1686431063
300,homer,59.6425,-151.5483,10.98,63,100,2.57,US,1686431063
301,jiangyou,31.7667,104.7167,23.31,62,100,1.48,CN,1686431063
302,pont rouge,48.8833,-72.0825,19.16,90,100,1.49,CA,1686431064
303,kirs,59.3388,52.2447,1.77,82,28,2.57,RU,1686431064
304,verkhniy baskunchak,48.2256,46.7217,25.24,40,100,2.7,RU,1686431064
305,shache,38.4167,77.2406,27.62,19,0,0.85,CN,1686431064
306,gebeit,21.0667,36.3167,32.24,26,47,1.89,SD,1686431064
307,iturama,-19.7281,-50.1956,23.41,46,0,1.14,BR,1686430895
308,cornwall,45.0181,-74.7281,24.03,51,66,2.58,CA,1686430801
309,coyuca de catalan,18.3333,-100.65,41.35,26,36,1.33,MX,1686431064
310,coahuayana de hidalgo,18.7,-103.6583,31.92,56,82,3.52,MX,1686431065
311,dhuusamarreeb,5.535,46.3861,26.38,64,97,9.3,SO,1686431065
312,frydlant nad ostravici,49.5928,18.3597,16.0,93,87,4.02,CZ,1686431065
313,kuta,-8.7233,115.1723,25.97,94,75,3.6,ID,1686431065
314,jamestown,42.097,-79.2353,24.73,40,0,3.6,US,1686431059
315,san sebastian de la gomera,28.0916,-17.1133,23.2,68,0,2.57,ES,1686431065
316,port douglas,-16.4833,145.4667,20.56,81,27,2.19,AU,1686431065
317,opuwo,-18.0607,13.84,17.05,41,14,2.6,NA,1686431065
318,qaqortoq,60.7167,-46.0333,5.71,61,99,1.91,GL,1686431065
319,kushiro,42.975,144.3747,12.34,94,88,1.44,JP,1686431066
320,hithadhoo,-0.6,73.0833,28.03,76,18,3.31,MV,1686431066
321,newman,37.3138,-121.0208,25.57,10,100,2.05,US,1686431066
322,nguigmi,14.2495,13.1092,29.07,60,93,0.87,NE,1686431066
323,acarau,-2.8856,-40.12,26.46,82,1,6.71,BR,1686431066
324,biltine,14.5333,20.9167,27.38,56,74,7.14,TD,1686431066
325,ancud,-41.8697,-73.8203,9.12,60,69,7.47,CL,1686430812
326,forio,40.7342,13.8646,22.51,87,97,3.58,IT,1686431066
327,black point,-34.6187,137.8972,12.13,67,0,4.08,AU,1686431066
328,lodja,-3.4833,23.4333,23.2,75,62,0.34,CD,1686431067
329,novyye burasy,52.1324,46.0714,12.25,89,100,6.47,RU,1686431067
330,san mariano,7.5,126.0,22.82,89,61,1.13,PH,1686431067
331,itupiranga,-5.1347,-49.3267,29.18,74,75,1.05,BR,1686431067
332,kiunga,-6.1219,141.2906,21.95,99,95,0.84,PG,1686431067
333,howard springs,-12.497,131.047,22.95,76,8,2.81,AU,1686431067
334,tanabe,33.7333,135.3667,20.02,98,100,3.37,JP,1686431067
335,ishigaki,24.3448,124.1572,26.07,100,100,1.03,JP,1686431067
336,asau,46.4333,26.4,18.51,86,79,2.03,RO,1686431067
337,laguna,38.421,-121.4238,28.02,48,0,2.57,US,1686430811
338,klyuchi,52.2667,79.1667,12.96,77,0,1.96,RU,1686431068
339,swan hill,-35.3378,143.5544,8.2,81,24,2.79,AU,1686431068
340,simdega,22.6167,84.5167,29.78,32,97,0.88,IN,1686431068
341,hammerfest,70.6634,23.6821,8.25,66,0,1.54,NO,1686431068
342,dubbo,-32.25,148.6167,1.07,100,0,3.09,AU,1686430922
343,banes,20.9625,-75.7186,29.63,69,99,1.89,CU,1686431068
344,tidjikja,18.5564,-11.4271,35.98,14,18,6.57,MR,1686431068
345,t'ongch'on-up,38.9539,127.8917,16.93,94,70,1.23,KP,1686431068
346,dhidhdhoo,6.8833,73.1,28.91,78,83,8.4,MV,1686431069
347,pisco,-13.7,-76.2167,22.03,68,0,8.23,PE,1686431069
348,batticaloa,7.7102,81.6924,27.39,74,100,2.49,LK,1686431069
349,kotel'nikovo,47.6317,43.1461,23.45,44,100,5.63,RU,1686431069
350,lebu,-37.6167,-73.65,9.81,68,17,6.87,CL,1686430998
351,azemmour,33.2895,-8.3425,20.6,76,30,3.56,MA,1686431069
352,tosontsengel,48.7567,98.2839,13.17,62,50,0.83,MN,1686431069
